mode	domain	dim	var	trial_idx	n_tiles	oddball_idx	saved_avg	recomp_avg	len_saved	len_recomp	multiset_match	avg_match	audit_status
data	glyphs	3	0	0	6	3	2.0	2.0	5	5	1	1	ok
data	glyphs	3	0	1	6	3	29.0	29.0	5	5	1	1	ok
data	glyphs	3	0	2	6	6	29.0	29.0	5	5	1	1	ok
data	glyphs	3	0	3	6	3	2.0	2.0	5	5	1	1	ok
data	glyphs	3	0	4	6	3	2.0	2.0	5	5	1	1	ok
data	glyphs	3	0	5	6	5	37.0	37.0	5	5	1	1	ok
data	glyphs	3	0	6	6	4	2.0	2.0	5	5	1	1	ok
data	glyphs	3	0	7	6	4	37.0	37.0	5	5	1	1	ok
data	glyphs	3	0	8	6	4	29.0	29.0	5	5	1	1	ok
data	glyphs	3	0	9	6	6	2.0	2.0	5	5	1	1	ok
data	glyphs	3	0	10	6	5	29.0	29.0	5	5	1	1	ok
data	glyphs	3	0	11	6	4	29.0	29.0	5	5	1	1	ok
data	glyphs	3	0	12	6	4	14.0	14.0	5	5	1	1	ok
data	glyphs	3	0	13	6	6	2.0	2.0	5	5	1	1	ok
data	glyphs	3	0	14	6	6	2.0	2.0	5	5	1	1	ok
data	glyphs	3	0	15	6	3	29.0	29.0	5	5	1	1	ok
data	glyphs	3	0	16	6	5	29.0	29.0	5	5	1	1	ok
data	glyphs	3	0	17	6	6	2.0	2.0	5	5	1	1	ok
data	glyphs	3	0	18	6	1	2.0	2.0	5	5	1	1	ok
data	glyphs	3	0	19	6	4	2.0	2.0	5	5	1	1	ok
data	glyphs	3	0	20	6	3	14.0	14.0	5	5	1	1	ok
data	glyphs	3	0	21	6	1	29.0	29.0	5	5	1	1	ok
data	glyphs	3	0	22	6	3	2.0	2.0	5	5	1	1	ok
data	glyphs	3	0	23	6	3	14.0	14.0	5	5	1	1	ok
data	glyphs	3	0	24	6	4	2.0	2.0	5	5	1	1	ok
data	glyphs	3	1	0	6	3	10.4	10.4	5	5	1	1	ok
data	glyphs	3	1	1	6	3	30.2	30.2	5	5	1	1	ok
data	glyphs	3	1	2	6	4	43.4	43.4	5	5	1	1	ok
data	glyphs	3	1	3	6	5	3.2	3.2	5	5	1	1	ok
data	glyphs	3	1	4	6	3	3.2	3.2	5	5	1	1	ok
