mode,domain,dim,var,trial_idx,oddball_idx,n_tiles,avg_edit_distance,distances_json
data,glyphs,3,0,0,3,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,glyphs,3,0,1,3,6,29.000000,"[29.0, 29.0, 29.0, 29.0, 29.0]"
data,glyphs,3,0,2,6,6,29.000000,"[29.0, 29.0, 29.0, 29.0, 29.0]"
data,glyphs,3,0,3,3,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,glyphs,3,0,4,3,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,glyphs,3,0,5,5,6,37.000000,"[37.0, 37.0, 37.0, 37.0, 37.0]"
data,glyphs,3,0,6,4,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,glyphs,3,0,7,4,6,37.000000,"[37.0, 37.0, 37.0, 37.0, 37.0]"
data,glyphs,3,0,8,4,6,29.000000,"[29.0, 29.0, 29.0, 29.0, 29.0]"
data,glyphs,3,0,9,6,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,glyphs,3,0,10,5,6,29.000000,"[29.0, 29.0, 29.0, 29.0, 29.0]"
data,glyphs,3,0,11,4,6,29.000000,"[29.0, 29.0, 29.0, 29.0, 29.0]"
data,glyphs,3,0,12,4,6,14.000000,"[14.0, 14.0, 14.0, 14.0, 14.0]"
data,glyphs,3,0,13,6,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,glyphs,3,0,14,6,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,glyphs,3,0,15,3,6,29.000000,"[29.0, 29.0, 29.0, 29.0, 29.0]"
data,glyphs,3,0,16,5,6,29.000000,"[29.0, 29.0, 29.0, 29.0, 29.0]"
data,glyphs,3,0,17,6,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,glyphs,3,0,18,1,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,glyphs,3,0,19,4,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,glyphs,3,0,20,3,6,14.000000,"[14.0, 14.0, 14.0, 14.0, 14.0]"
data,glyphs,3,0,21,1,6,29.000000,"[29.0, 29.0, 29.0, 29.0, 29.0]"
data,glyphs,3,0,22,3,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,glyphs,3,0,23,3,6,14.000000,"[14.0, 14.0, 14.0, 14.0, 14.0]"
data,glyphs,3,0,24,4,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,glyphs,3,1,0,3,6,10.400000,"[16.0, 2.0, 16.0, 2.0, 16.0]"
data,glyphs,3,1,1,3,6,30.200000,"[29.0, 31.0, 31.0, 31.0, 29.0]"
data,glyphs,3,1,2,4,6,43.400000,"[29.0, 29.0, 53.0, 53.0, 53.0]"
data,glyphs,3,1,3,5,6,3.200000,"[4.0, 2.0, 2.0, 4.0, 4.0]"
data,glyphs,3,1,4,3,6,3.200000,"[4.0, 4.0, 2.0, 2.0, 4.0]"
data,glyphs,3,1,5,2,6,30.200000,"[31.0, 29.0, 31.0, 29.0, 31.0]"
data,glyphs,3,1,6,1,6,3.200000,"[4.0, 2.0, 2.0, 4.0, 4.0]"
data,glyphs,3,1,7,2,6,15.200000,"[14.0, 16.0, 16.0, 14.0, 16.0]"
data,glyphs,3,1,8,5,6,38.200000,"[39.0, 39.0, 37.0, 39.0, 37.0]"
data,glyphs,3,1,9,5,6,10.400000,"[16.0, 2.0, 2.0, 16.0, 16.0]"
data,glyphs,3,1,10,3,6,30.200000,"[31.0, 29.0, 29.0, 31.0, 31.0]"
data,glyphs,3,1,11,6,6,30.200000,"[31.0, 29.0, 31.0, 29.0, 31.0]"
data,glyphs,3,1,12,4,6,30.200000,"[31.0, 31.0, 29.0, 31.0, 29.0]"
data,glyphs,3,1,13,5,6,19.400000,"[31.0, 31.0, 2.0, 31.0, 2.0]"
data,glyphs,3,1,14,5,6,19.400000,"[31.0, 2.0, 31.0, 31.0, 2.0]"
data,glyphs,3,1,15,5,6,38.200000,"[39.0, 37.0, 39.0, 37.0, 39.0]"
data,glyphs,3,1,16,1,6,36.400000,"[36.0, 37.0, 37.0, 36.0, 36.0]"
data,glyphs,3,1,17,1,6,3.200000,"[2.0, 4.0, 2.0, 4.0, 4.0]"
data,glyphs,3,1,18,4,6,3.200000,"[4.0, 2.0, 2.0, 4.0, 4.0]"
data,glyphs,3,1,19,3,6,3.200000,"[2.0, 4.0, 4.0, 2.0, 4.0]"
data,glyphs,3,1,20,1,6,33.200000,"[46.0, 46.0, 14.0, 14.0, 46.0]"
data,glyphs,3,1,21,2,6,37.400000,"[29.0, 29.0, 43.0, 43.0, 43.0]"
data,glyphs,3,1,22,3,6,3.200000,"[4.0, 4.0, 2.0, 2.0, 4.0]"
data,glyphs,3,1,23,1,6,33.200000,"[14.0, 46.0, 46.0, 14.0, 46.0]"
data,glyphs,3,1,24,4,6,3.200000,"[2.0, 4.0, 4.0, 4.0, 2.0]"
