trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns
0,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial0.png,6,edge_type,1,1,"n_sides,edge_type"
1,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial1.png,5,n_sides,1,1,"n_sides,edge_type"
2,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial2.png,2,n_sides,1,1,"n_sides,edge_type"
3,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial3.png,4,n_sides,1,1,"n_sides,edge_type"
4,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial4.png,1,n_sides,1,1,"n_sides,edge_type"
5,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial5.png,1,n_sides,1,1,"n_sides,edge_type"
6,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial6.png,4,edge_type,1,1,"n_sides,edge_type"
7,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial7.png,6,n_sides,1,1,"n_sides,edge_type"
8,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial8.png,6,edge_type,1,1,"n_sides,edge_type"
9,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial9.png,1,edge_type,1,1,"n_sides,edge_type"
10,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial10.png,3,edge_type,1,1,"n_sides,edge_type"
11,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial11.png,3,edge_type,1,1,"n_sides,edge_type"
12,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial12.png,6,edge_type,1,1,"n_sides,edge_type"
13,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial13.png,3,n_sides,1,1,"n_sides,edge_type"
14,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial14.png,3,edge_type,1,1,"n_sides,edge_type"
15,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial15.png,1,n_sides,1,1,"n_sides,edge_type"
16,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial16.png,3,n_sides,1,1,"n_sides,edge_type"
17,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial17.png,5,n_sides,1,1,"n_sides,edge_type"
18,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial18.png,6,edge_type,1,1,"n_sides,edge_type"
19,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial19.png,4,edge_type,1,1,"n_sides,edge_type"
20,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial20.png,3,edge_type,1,1,"n_sides,edge_type"
21,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial21.png,1,edge_type,1,1,"n_sides,edge_type"
22,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial22.png,5,n_sides,1,1,"n_sides,edge_type"
23,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial23.png,6,edge_type,1,1,"n_sides,edge_type"
24,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial24.png,6,n_sides,1,1,"n_sides,edge_type"
25,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial25.png,5,n_sides,1,1,"n_sides,edge_type"
26,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial26.png,4,edge_type,1,1,"n_sides,edge_type"
27,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial27.png,4,n_sides,1,1,"n_sides,edge_type"
28,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial28.png,4,edge_type,1,1,"n_sides,edge_type"
29,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial29.png,2,edge_type,1,1,"n_sides,edge_type"
30,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial30.png,5,n_sides,1,1,"n_sides,edge_type"
31,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial31.png,4,edge_type,1,1,"n_sides,edge_type"
32,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial32.png,6,edge_type,1,1,"n_sides,edge_type"
33,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial33.png,6,n_sides,1,1,"n_sides,edge_type"
34,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial34.png,5,n_sides,1,1,"n_sides,edge_type"
35,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial35.png,2,n_sides,1,1,"n_sides,edge_type"
36,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial36.png,3,n_sides,1,1,"n_sides,edge_type"
37,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial37.png,6,edge_type,1,1,"n_sides,edge_type"
38,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial38.png,6,n_sides,1,1,"n_sides,edge_type"
39,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial39.png,6,edge_type,1,1,"n_sides,edge_type"
40,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial40.png,3,edge_type,1,1,"n_sides,edge_type"
41,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial41.png,2,edge_type,1,1,"n_sides,edge_type"
42,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial42.png,2,edge_type,1,1,"n_sides,edge_type"
43,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial43.png,2,n_sides,1,1,"n_sides,edge_type"
44,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial44.png,3,n_sides,1,1,"n_sides,edge_type"
45,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial45.png,3,n_sides,1,1,"n_sides,edge_type"
46,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial46.png,2,edge_type,1,1,"n_sides,edge_type"
47,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial47.png,5,n_sides,1,1,"n_sides,edge_type"
48,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial48.png,5,n_sides,1,1,"n_sides,edge_type"
49,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial49.png,1,n_sides,1,1,"n_sides,edge_type"
50,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial50.png,2,edge_type,1,1,"n_sides,edge_type"
51,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial51.png,3,n_sides,1,1,"n_sides,edge_type"
52,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial52.png,6,edge_type,1,1,"n_sides,edge_type"
53,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial53.png,2,edge_type,1,1,"n_sides,edge_type"
54,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial54.png,5,n_sides,1,1,"n_sides,edge_type"
55,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial55.png,4,edge_type,1,1,"n_sides,edge_type"
56,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial56.png,6,edge_type,1,1,"n_sides,edge_type"
57,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial57.png,5,n_sides,1,1,"n_sides,edge_type"
58,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial58.png,3,n_sides,1,1,"n_sides,edge_type"
59,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial59.png,3,n_sides,1,1,"n_sides,edge_type"
60,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial60.png,4,n_sides,1,1,"n_sides,edge_type"
61,balanced_data/dim_balanced/regular_polygons/dim1/var1/summaries/summary=trial61.png,1,n_sides,1,1,"n_sides,edge_type"
