program_string,module1_shape,module1_color,module2_shape,module2_color,render_filepath
(C (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),circle,red,circle,red,balanced_data/dim_balanced/totems/dim2/var0/images/0.png
(C (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),circle,red,circle,green,balanced_data/dim_balanced/totems/dim2/var0/images/1.png
(C (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),circle,red,circle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/2.png
(C (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),circle,red,triangle,red,balanced_data/dim_balanced/totems/dim2/var0/images/3.png
(C (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),circle,red,triangle,green,balanced_data/dim_balanced/totems/dim2/var0/images/4.png
(C (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),circle,red,triangle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/5.png
(C (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),circle,red,square,red,balanced_data/dim_balanced/totems/dim2/var0/images/6.png
(C (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),circle,red,square,green,balanced_data/dim_balanced/totems/dim2/var0/images/7.png
(C (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),circle,red,square,blue,balanced_data/dim_balanced/totems/dim2/var0/images/8.png
(C (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),circle,green,circle,red,balanced_data/dim_balanced/totems/dim2/var0/images/9.png
