trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns
0,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial0.png,2,module1_color,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
1,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial1.png,3,module1_shape,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
2,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial2.png,3,module1_color,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
3,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial3.png,3,module3_color,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
4,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial4.png,6,module2_shape,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
5,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial5.png,3,module1_color,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
6,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial6.png,2,module2_shape,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
7,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial7.png,6,module3_shape,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
8,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial8.png,1,module3_shape,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
9,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial9.png,6,module3_color,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
10,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial10.png,3,module2_shape,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
11,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial11.png,6,module1_color,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
12,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial12.png,4,module3_shape,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
13,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial13.png,6,module2_color,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
14,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial14.png,4,module3_color,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
15,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial15.png,3,module2_shape,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
16,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial16.png,5,module3_color,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
17,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial17.png,4,module1_color,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
18,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial18.png,5,module3_shape,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
19,balanced_data/dim_balanced/totems/dim3/var5/summaries/summary=trial19.png,4,module3_shape,5,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color"
