trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns
0,balanced_data/var_balanced/glyphs/dim3/var1/summaries/summary=trial0.png,6,emb1_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
1,balanced_data/var_balanced/glyphs/dim3/var1/summaries/summary=trial1.png,2,emb1_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
2,balanced_data/var_balanced/glyphs/dim3/var1/summaries/summary=trial2.png,4,emb1_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
3,balanced_data/var_balanced/glyphs/dim3/var1/summaries/summary=trial3.png,3,emb3_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
4,balanced_data/var_balanced/glyphs/dim3/var1/summaries/summary=trial4.png,3,emb2_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
5,balanced_data/var_balanced/glyphs/dim3/var1/summaries/summary=trial5.png,1,emb1_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
6,balanced_data/var_balanced/glyphs/dim3/var1/summaries/summary=trial6.png,1,emb2_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
7,balanced_data/var_balanced/glyphs/dim3/var1/summaries/summary=trial7.png,4,emb3_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
8,balanced_data/var_balanced/glyphs/dim3/var1/summaries/summary=trial8.png,5,emb3_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
9,balanced_data/var_balanced/glyphs/dim3/var1/summaries/summary=trial9.png,6,emb3_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
10,balanced_data/var_balanced/glyphs/dim3/var1/summaries/summary=trial10.png,1,emb2_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
11,balanced_data/var_balanced/glyphs/dim3/var1/summaries/summary=trial11.png,3,emb1_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
12,balanced_data/var_balanced/glyphs/dim3/var1/summaries/summary=trial12.png,3,emb3_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
