program_string,nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,render_filepath
(C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 4 (M 1 1.5707963267948966 0 0))),c,1.0,c,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/0.png
(C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 6 (M 1 1.0471975511965976 0 0))),c,1.0,c,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/1.png
(C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 4 (M 1 1.5707963267948966 0 0))),c,1.0,s,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/2.png
(C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 6 (M 1 1.0471975511965976 0 0))),c,1.0,s,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/3.png
(C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.4702282018339785 0 -0.23511410091698925 0.323606797749979)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 4 (M 1 1.5707963267948966 0 0))),c,1.0,p,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/4.png
(C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.4702282018339785 0 -0.23511410091698925 0.323606797749979)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 6 (M 1 1.0471975511965976 0 0))),c,1.0,p,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/5.png
(C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 4 (M 1 1.5707963267948966 0 0))),c,1.0,h,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/6.png
(C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 6 (M 1 1.0471975511965976 0 0))),c,1.0,h,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/7.png
(C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 4 (M 1 1.5707963267948966 0 0))),c,2.2,c,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/8.png
(C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 6 (M 1 1.0471975511965976 0 0))),c,2.2,c,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/9.png
