program_string,n_sides,edge_type,render_filepath
(T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 0.750 0 0 0)),3,straight,balanced_data/var_balanced/regular_polygons/dim1/var0/images/0.png
(T (C (C (T (a 0.25) (M 1.7321 1.0472 0.0000 -1.0000)) (T (a 0.25) (M 1.7321 3.1416 0.8660 0.5000))) (T (a 0.25) (M 1.7321 -1.0472 -0.8660 0.5000))) (M 0.750 0 0 0)),3,convex,balanced_data/var_balanced/regular_polygons/dim1/var0/images/1.png
(T (C (C (T (a -0.25) (M 1.7321 1.0472 0.0000 -1.0000)) (T (a -0.25) (M 1.7321 3.1416 0.8660 0.5000))) (T (a -0.25) (M 1.7321 -1.0472 -0.8660 0.5000))) (M 0.750 0 0 0)),3,concave,balanced_data/var_balanced/regular_polygons/dim1/var0/images/2.png
(T (C (C (C (T l (M 1.4142 0.7854 0.0000 -1.0000)) (T l (M 1.4142 2.3562 1.0000 0.0000))) (T l (M 1.4142 -2.3562 0.0000 1.0000))) (T l (M 1.4142 -0.7854 -1.0000 0.0000))) (M 0.750 0 0 0)),4,straight,balanced_data/var_balanced/regular_polygons/dim1/var0/images/3.png
(T (C (C (C (T (a 0.25) (M 1.4142 0.7854 0.0000 -1.0000)) (T (a 0.25) (M 1.4142 2.3562 1.0000 0.0000))) (T (a 0.25) (M 1.4142 -2.3562 0.0000 1.0000))) (T (a 0.25) (M 1.4142 -0.7854 -1.0000 0.0000))) (M 0.750 0 0 0)),4,convex,balanced_data/var_balanced/regular_polygons/dim1/var0/images/4.png
(T (C (C (C (T (a -0.25) (M 1.4142 0.7854 0.0000 -1.0000)) (T (a -0.25) (M 1.4142 2.3562 1.0000 0.0000))) (T (a -0.25) (M 1.4142 -2.3562 0.0000 1.0000))) (T (a -0.25) (M 1.4142 -0.7854 -1.0000 0.0000))) (M 0.750 0 0 0)),4,concave,balanced_data/var_balanced/regular_polygons/dim1/var0/images/5.png
(T (C (C (C (C (T l (M 1.1756 0.6283 0.0000 -1.0000)) (T l (M 1.1756 1.8850 0.9511 -0.3090))) (T l (M 1.1756 3.1416 0.5878 0.8090))) (T l (M 1.1756 -1.8850 -0.5878 0.8090))) (T l (M 1.1756 -0.6283 -0.9511 -0.3090))) (M 0.750 0 0 0)),5,straight,balanced_data/var_balanced/regular_polygons/dim1/var0/images/6.png
(T (C (C (C (C (T (a 0.25) (M 1.1756 0.6283 0.0000 -1.0000)) (T (a 0.25) (M 1.1756 1.8850 0.9511 -0.3090))) (T (a 0.25) (M 1.1756 3.1416 0.5878 0.8090))) (T (a 0.25) (M 1.1756 -1.8850 -0.5878 0.8090))) (T (a 0.25) (M 1.1756 -0.6283 -0.9511 -0.3090))) (M 0.750 0 0 0)),5,convex,balanced_data/var_balanced/regular_polygons/dim1/var0/images/7.png
(T (C (C (C (C (T (a -0.25) (M 1.1756 0.6283 0.0000 -1.0000)) (T (a -0.25) (M 1.1756 1.8850 0.9511 -0.3090))) (T (a -0.25) (M 1.1756 3.1416 0.5878 0.8090))) (T (a -0.25) (M 1.1756 -1.8850 -0.5878 0.8090))) (T (a -0.25) (M 1.1756 -0.6283 -0.9511 -0.3090))) (M 0.750 0 0 0)),5,concave,balanced_data/var_balanced/regular_polygons/dim1/var0/images/8.png
(T (C (C (C (C (C (T l (M 1.0000 0.5236 0.0000 -1.0000)) (T l (M 1.0000 1.5708 0.8660 -0.5000))) (T l (M 1.0000 2.6180 0.8660 0.5000))) (T l (M 1.0000 -2.6180 0.0000 1.0000))) (T l (M 1.0000 -1.5708 -0.8660 0.5000))) (T l (M 1.0000 -0.5236 -0.8660 -0.5000))) (M 0.750 0 0 0)),6,straight,balanced_data/var_balanced/regular_polygons/dim1/var0/images/9.png
(T (C (C (C (C (C (T (a 0.25) (M 1.0000 0.5236 0.0000 -1.0000)) (T (a 0.25) (M 1.0000 1.5708 0.8660 -0.5000))) (T (a 0.25) (M 1.0000 2.6180 0.8660 0.5000))) (T (a 0.25) (M 1.0000 -2.6180 0.0000 1.0000))) (T (a 0.25) (M 1.0000 -1.5708 -0.8660 0.5000))) (T (a 0.25) (M 1.0000 -0.5236 -0.8660 -0.5000))) (M 0.750 0 0 0)),6,convex,balanced_data/var_balanced/regular_polygons/dim1/var0/images/10.png
(T (C (C (C (C (C (T (a -0.25) (M 1.0000 0.5236 0.0000 -1.0000)) (T (a -0.25) (M 1.0000 1.5708 0.8660 -0.5000))) (T (a -0.25) (M 1.0000 2.6180 0.8660 0.5000))) (T (a -0.25) (M 1.0000 -2.6180 0.0000 1.0000))) (T (a -0.25) (M 1.0000 -1.5708 -0.8660 0.5000))) (T (a -0.25) (M 1.0000 -0.5236 -0.8660 -0.5000))) (M 0.750 0 0 0)),6,concave,balanced_data/var_balanced/regular_polygons/dim1/var0/images/11.png
