trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns
0,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial0.png,1,module1_shape,0,1,"module1_shape,module1_color"
1,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial1.png,2,module1_shape,0,1,"module1_shape,module1_color"
2,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial2.png,2,module1_shape,0,1,"module1_shape,module1_color"
3,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial3.png,6,module1_color,0,1,"module1_shape,module1_color"
4,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial4.png,5,module1_color,0,1,"module1_shape,module1_color"
5,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial5.png,1,module1_shape,0,1,"module1_shape,module1_color"
6,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial6.png,1,module1_shape,0,1,"module1_shape,module1_color"
7,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial7.png,2,module1_color,0,1,"module1_shape,module1_color"
8,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial8.png,5,module1_shape,0,1,"module1_shape,module1_color"
9,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial9.png,6,module1_shape,0,1,"module1_shape,module1_color"
10,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial10.png,2,module1_color,0,1,"module1_shape,module1_color"
11,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial11.png,5,module1_shape,0,1,"module1_shape,module1_color"
12,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial12.png,1,module1_shape,0,1,"module1_shape,module1_color"
13,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial13.png,6,module1_shape,0,1,"module1_shape,module1_color"
14,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial14.png,3,module1_color,0,1,"module1_shape,module1_color"
15,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial15.png,2,module1_shape,0,1,"module1_shape,module1_color"
16,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial16.png,3,module1_color,0,1,"module1_shape,module1_color"
17,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial17.png,1,module1_color,0,1,"module1_shape,module1_color"
18,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial18.png,1,module1_color,0,1,"module1_shape,module1_color"
19,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial19.png,3,module1_color,0,1,"module1_shape,module1_color"
20,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial20.png,1,module1_color,0,1,"module1_shape,module1_color"
21,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial21.png,5,module1_color,0,1,"module1_shape,module1_color"
22,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial22.png,4,module1_color,0,1,"module1_shape,module1_color"
23,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial23.png,5,module1_shape,0,1,"module1_shape,module1_color"
24,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial24.png,6,module1_shape,0,1,"module1_shape,module1_color"
25,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial25.png,5,module1_color,0,1,"module1_shape,module1_color"
26,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial26.png,6,module1_shape,0,1,"module1_shape,module1_color"
27,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial27.png,1,module1_shape,0,1,"module1_shape,module1_color"
28,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial28.png,3,module1_shape,0,1,"module1_shape,module1_color"
29,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial29.png,2,module1_shape,0,1,"module1_shape,module1_color"
30,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial30.png,4,module1_color,0,1,"module1_shape,module1_color"
31,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial31.png,4,module1_color,0,1,"module1_shape,module1_color"
32,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial32.png,2,module1_shape,0,1,"module1_shape,module1_color"
33,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial33.png,3,module1_shape,0,1,"module1_shape,module1_color"
34,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial34.png,6,module1_color,0,1,"module1_shape,module1_color"
35,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial35.png,6,module1_color,0,1,"module1_shape,module1_color"
36,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial36.png,5,module1_color,0,1,"module1_shape,module1_color"
37,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial37.png,5,module1_shape,0,1,"module1_shape,module1_color"
38,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial38.png,2,module1_shape,0,1,"module1_shape,module1_color"
39,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial39.png,4,module1_color,0,1,"module1_shape,module1_color"
40,balanced_data/var_balanced/totems/dim1/var0/summaries/summary=trial40.png,6,module1_shape,0,1,"module1_shape,module1_color"
