domain	dim	var	n	status	file
regular_polygons	1	0	42	issues dim=42 var=42 odd_ref=35 odd_match=20	regular_polygons_1dim_var0_dim2.csv
regular_polygons	1	1	42	issues dim=42 var=42 odd_ref=30 odd_match=17	regular_polygons_1dim_var1_dim2.csv
regular_polygons	2	0	42	issues dim=42 var=42 odd_ref=34 odd_match=16	regular_polygons_2dim_var0_dim4.csv
regular_polygons	2	1	42	issues dim=42 var=42 odd_ref=33 odd_match=18	regular_polygons_2dim_var1_dim4.csv
regular_polygons	2	2	63	issues dim=50 var=50 odd_ref=46 odd_match=26	regular_polygons_2dim_var2_dim4.csv
regular_polygons	2	3	63	issues dim=50 var=50 odd_ref=41 odd_match=23	regular_polygons_2dim_var3_dim4.csv
regular_polygons	3	0	42	issues dim=42 var=42 odd_ref=33 odd_match=13	regular_polygons_3dim_var0_dim6.csv
regular_polygons	3	1	42	issues dim=42 var=42 odd_ref=32 odd_match=14	regular_polygons_3dim_var1_dim6.csv
regular_polygons	3	2	63	issues dim=50 var=50 odd_ref=39 odd_match=16	regular_polygons_3dim_var2_dim6.csv
regular_polygons	3	3	63	issues dim=50 var=50 odd_ref=39 odd_match=16	regular_polygons_3dim_var3_dim6.csv
regular_polygons	3	4	125	issues dim=50 var=50 odd_ref=38 odd_match=17	regular_polygons_3dim_var4_dim6.csv
regular_polygons	3	5	125	issues dim=50 var=50 odd_ref=39 odd_match=18	regular_polygons_3dim_var5_dim6.csv
glyphs	1	0	42	issues dim=42 var=42 odd_ref=33 odd_match=15	glyphs_dim1_var0_dim2.csv
glyphs	1	1	42	issues dim=42 var=42 odd_ref=33 odd_match=15	glyphs_dim1_var1_dim2.csv
glyphs	2	0	42	issues dim=42 var=42 odd_ref=33 odd_match=14	glyphs_dim2_var0_dim4.csv
glyphs	2	1	42	issues dim=42 var=42 odd_ref=35 odd_match=15	glyphs_dim2_var1_dim4.csv
glyphs	2	2	63	issues dim=50 var=50 odd_ref=37 odd_match=20	glyphs_dim2_var2_dim4.csv
glyphs	2	3	63	issues dim=50 var=50 odd_ref=45 odd_match=16	glyphs_dim2_var3_dim4.csv
glyphs	3	0	42	issues dim=42 var=42 odd_ref=33 odd_match=13	glyphs_dim3_var0_dim6.csv
glyphs	3	1	42	issues dim=42 var=42 odd_ref=35 odd_match=22	glyphs_dim3_var1_dim6.csv
glyphs	3	2	63	issues dim=50 var=50 odd_ref=37 odd_match=18	glyphs_dim3_var2_dim6.csv
glyphs	3	3	63	issues dim=50 var=50 odd_ref=36 odd_match=16	glyphs_dim3_var3_dim6.csv
glyphs	3	4	125	issues dim=50 var=50 odd_ref=43 odd_match=19	glyphs_dim3_var4_dim6.csv
glyphs	3	5	125	issues dim=50 var=50 odd_ref=42 odd_match=18	glyphs_dim3_var5_dim6.csv
nuts_and_bolts	1	0	42	issues dim=42 var=42 odd_ref=30 odd_match=12	nab_dim1_var0_dim2.csv
nuts_and_bolts	1	1	42	issues dim=42 var=42 odd_ref=35 odd_match=16	nab_dim1_var1_dim2.csv
nuts_and_bolts	2	0	42	issues dim=42 var=42 odd_ref=35 odd_match=19	nab_dim2_var0_dim4.csv
nuts_and_bolts	2	1	42	issues dim=42 var=42 odd_ref=37 odd_match=23	nab_dim2_var1_dim4.csv
nuts_and_bolts	2	2	62	issues dim=50 var=50 odd_ref=40 odd_match=23	nab_dim2_var2_dim4.csv
nuts_and_bolts	2	3	62	issues dim=50 var=50 odd_ref=46 odd_match=25	nab_dim2_var3_dim4.csv
nuts_and_bolts	3	0	41	issues dim=41 var=41 odd_ref=34 odd_match=16	nab_dim3_var0_dim6.csv
nuts_and_bolts	3	1	41	issues dim=41 var=41 odd_ref=34 odd_match=15	nab_dim3_var1_dim6.csv
nuts_and_bolts	3	2	62	issues dim=50 var=50 odd_ref=39 odd_match=21	nab_dim3_var2_dim6.csv
nuts_and_bolts	3	3	62	issues dim=50 var=50 odd_ref=44 odd_match=25	nab_dim3_var3_dim6.csv
nuts_and_bolts	3	4	125	issues dim=50 var=50 odd_ref=45 odd_match=24	nab_dim3_var4_dim6.csv
nuts_and_bolts	3	5	125	issues dim=50 var=50 odd_ref=38 odd_match=18	nab_dim3_var5_dim6.csv
totems	1	0	41	issues dim=41 var=41 odd_ref=33 odd_match=15	totems_1mod_var0_dim2.csv
totems	1	1	41	issues dim=41 var=41 odd_ref=32 odd_match=14	totems_1mod_var1_dim2.csv
totems	2	0	41	issues dim=41 var=41 odd_ref=33 odd_match=14	totems_2mod_var0_dim4.csv
totems	2	1	41	issues dim=41 var=41 odd_ref=34 odd_match=15	totems_2mod_var1_dim4.csv
totems	2	2	62	issues dim=50 var=50 odd_ref=37 odd_match=20	totems_2mod_var2_dim4.csv
totems	2	3	62	issues dim=50 var=50 odd_ref=45 odd_match=16	totems_2mod_var3_dim4.csv
totems	3	0	41	issues dim=41 var=41 odd_ref=33 odd_match=13	totems_3mod_var0_dim6.csv
totems	3	1	41	issues dim=41 var=41 odd_ref=35 odd_match=22	totems_3mod_var1_dim6.csv
totems	3	2	62	issues dim=50 var=50 odd_ref=37 odd_match=18	totems_3mod_var2_dim6.csv
totems	3	3	62	issues dim=50 var=50 odd_ref=36 odd_match=16	totems_3mod_var3_dim6.csv
totems	3	4	125	issues dim=50 var=50 odd_ref=43 odd_match=19	totems_3mod_var4_dim6.csv
totems	3	5	125	issues dim=50 var=50 odd_ref=42 odd_match=18	totems_3mod_var5_dim6.csv
