trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns
0,data/glyphs/dim3/var1/summaries/summary=trial0.png,3,emb3_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
1,data/glyphs/dim3/var1/summaries/summary=trial1.png,3,emb1_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
2,data/glyphs/dim3/var1/summaries/summary=trial2.png,4,emb1_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
3,data/glyphs/dim3/var1/summaries/summary=trial3.png,5,emb3_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
4,data/glyphs/dim3/var1/summaries/summary=trial4.png,3,emb1_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
5,data/glyphs/dim3/var1/summaries/summary=trial5.png,2,emb2_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
6,data/glyphs/dim3/var1/summaries/summary=trial6.png,1,emb3_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
7,data/glyphs/dim3/var1/summaries/summary=trial7.png,2,emb3_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
8,data/glyphs/dim3/var1/summaries/summary=trial8.png,5,emb1_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
9,data/glyphs/dim3/var1/summaries/summary=trial9.png,5,emb1_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
10,data/glyphs/dim3/var1/summaries/summary=trial10.png,3,emb1_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
11,data/glyphs/dim3/var1/summaries/summary=trial11.png,6,emb1_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
12,data/glyphs/dim3/var1/summaries/summary=trial12.png,4,emb2_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
13,data/glyphs/dim3/var1/summaries/summary=trial13.png,5,emb3_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
14,data/glyphs/dim3/var1/summaries/summary=trial14.png,5,emb3_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
15,data/glyphs/dim3/var1/summaries/summary=trial15.png,5,emb2_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
16,data/glyphs/dim3/var1/summaries/summary=trial16.png,1,emb1_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
17,data/glyphs/dim3/var1/summaries/summary=trial17.png,1,emb3_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
18,data/glyphs/dim3/var1/summaries/summary=trial18.png,4,emb1_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
19,data/glyphs/dim3/var1/summaries/summary=trial19.png,3,emb2_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
20,data/glyphs/dim3/var1/summaries/summary=trial20.png,1,emb2_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
21,data/glyphs/dim3/var1/summaries/summary=trial21.png,2,emb1_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
22,data/glyphs/dim3/var1/summaries/summary=trial22.png,3,emb2_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
23,data/glyphs/dim3/var1/summaries/summary=trial23.png,1,emb2_type,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
24,data/glyphs/dim3/var1/summaries/summary=trial24.png,4,emb1_color,1,3,"emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color"
