trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns
0,data/nuts_and_bolts/dim3/var1/summaries/summary=trial0.png,3,outer_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
1,data/nuts_and_bolts/dim3/var1/summaries/summary=trial1.png,3,outer_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
2,data/nuts_and_bolts/dim3/var1/summaries/summary=trial2.png,2,inner_n_shapes,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
3,data/nuts_and_bolts/dim3/var1/summaries/summary=trial3.png,6,inner_n_shapes,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
4,data/nuts_and_bolts/dim3/var1/summaries/summary=trial4.png,6,outer_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
5,data/nuts_and_bolts/dim3/var1/summaries/summary=trial5.png,2,nested_shape_scale,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
6,data/nuts_and_bolts/dim3/var1/summaries/summary=trial6.png,1,nested_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
7,data/nuts_and_bolts/dim3/var1/summaries/summary=trial7.png,6,nested_shape_scale,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
8,data/nuts_and_bolts/dim3/var1/summaries/summary=trial8.png,2,outer_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
9,data/nuts_and_bolts/dim3/var1/summaries/summary=trial9.png,6,nested_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
10,data/nuts_and_bolts/dim3/var1/summaries/summary=trial10.png,3,nested_shape_scale,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
11,data/nuts_and_bolts/dim3/var1/summaries/summary=trial11.png,6,outer_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
12,data/nuts_and_bolts/dim3/var1/summaries/summary=trial12.png,5,outer_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
13,data/nuts_and_bolts/dim3/var1/summaries/summary=trial13.png,1,inner_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
14,data/nuts_and_bolts/dim3/var1/summaries/summary=trial14.png,2,inner_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
15,data/nuts_and_bolts/dim3/var1/summaries/summary=trial15.png,5,nested_shape_scale,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
16,data/nuts_and_bolts/dim3/var1/summaries/summary=trial16.png,2,inner_n_shapes,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
17,data/nuts_and_bolts/dim3/var1/summaries/summary=trial17.png,5,outer_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
18,data/nuts_and_bolts/dim3/var1/summaries/summary=trial18.png,5,nested_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
19,data/nuts_and_bolts/dim3/var1/summaries/summary=trial19.png,1,nested_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
20,data/nuts_and_bolts/dim3/var1/summaries/summary=trial20.png,4,outer_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
21,data/nuts_and_bolts/dim3/var1/summaries/summary=trial21.png,6,nested_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
22,data/nuts_and_bolts/dim3/var1/summaries/summary=trial22.png,3,outer_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
23,data/nuts_and_bolts/dim3/var1/summaries/summary=trial23.png,4,inner_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
24,data/nuts_and_bolts/dim3/var1/summaries/summary=trial24.png,1,inner_shape_type,1,3,"nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type"
