trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns
0,data/spirographs/dim3/var0/summaries/summary=trial0.png,3,radial_primitive,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
1,data/spirographs/dim3/var0/summaries/summary=trial1.png,3,radius,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
2,data/spirographs/dim3/var0/summaries/summary=trial2.png,6,radial_primitive,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
3,data/spirographs/dim3/var0/summaries/summary=trial3.png,3,radial_scale,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
4,data/spirographs/dim3/var0/summaries/summary=trial4.png,3,radial_primitive,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
5,data/spirographs/dim3/var0/summaries/summary=trial5.png,5,central_primitive,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
6,data/spirographs/dim3/var0/summaries/summary=trial6.png,4,central_primitive,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
7,data/spirographs/dim3/var0/summaries/summary=trial7.png,4,central_scale,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
8,data/spirographs/dim3/var0/summaries/summary=trial8.png,4,central_primitive,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
9,data/spirographs/dim3/var0/summaries/summary=trial9.png,6,radius,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
10,data/spirographs/dim3/var0/summaries/summary=trial10.png,5,central_scale,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
11,data/spirographs/dim3/var0/summaries/summary=trial11.png,4,central_primitive,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
12,data/spirographs/dim3/var0/summaries/summary=trial12.png,4,radius,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
13,data/spirographs/dim3/var0/summaries/summary=trial13.png,6,radius,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
14,data/spirographs/dim3/var0/summaries/summary=trial14.png,6,radial_primitive,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
15,data/spirographs/dim3/var0/summaries/summary=trial15.png,3,radial_primitive,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
16,data/spirographs/dim3/var0/summaries/summary=trial16.png,5,radius,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
17,data/spirographs/dim3/var0/summaries/summary=trial17.png,6,central_primitive,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
18,data/spirographs/dim3/var0/summaries/summary=trial18.png,1,radial_primitive,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
19,data/spirographs/dim3/var0/summaries/summary=trial19.png,4,radius,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
20,data/spirographs/dim3/var0/summaries/summary=trial20.png,3,radius,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
21,data/spirographs/dim3/var0/summaries/summary=trial21.png,1,central_primitive,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
22,data/spirographs/dim3/var0/summaries/summary=trial22.png,3,radius,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
23,data/spirographs/dim3/var0/summaries/summary=trial23.png,3,central_primitive,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
24,data/spirographs/dim3/var0/summaries/summary=trial24.png,4,radius,0,5,"central_primitive,central_scale,radial_primitive,radial_scale,radius"
