lvl,var,odd,transform,composition,correct
1,0,edge_type,radial,none,1.0
1,0,n_sides,radial,none,1.0
1,1,edge_type,radial,none,1.0
1,1,n_sides,radial,none,1.0
2,0,edge_type,line,none,1.0
2,0,edge_type,radial,none,1.0
2,0,edge_type,scale_origin,none,1.0
2,0,edge_type,scale_outward,none,1.0
2,0,edge_type,spiral,none,1.0
2,0,n_copies,line,none,1.0
2,0,n_copies,radial,none,1.0
2,0,n_copies,scale_origin,none,0.75
2,0,n_copies,scale_outward,none,0.6666666666666666
2,0,n_copies,spiral,none,1.0
2,0,n_sides,line,none,1.0
2,0,n_sides,radial,none,1.0
2,0,n_sides,scale_origin,none,1.0
2,0,n_sides,scale_outward,none,1.0
2,0,n_sides,spiral,none,1.0
2,0,transform_type,line,none,1.0
2,0,transform_type,radial,none,1.0
2,0,transform_type,scale_origin,none,1.0
2,0,transform_type,scale_outward,none,1.0
2,0,transform_type,spiral,none,1.0
2,1,edge_type,line,none,1.0
2,1,edge_type,radial,none,1.0
2,1,edge_type,scale_origin,none,1.0
2,1,edge_type,scale_outward,none,1.0
2,1,edge_type,spiral,none,1.0
2,1,n_copies,line,none,1.0
2,1,n_copies,radial,none,1.0
2,1,n_copies,scale_origin,none,0.6
2,1,n_copies,scale_outward,none,0.2
2,1,n_copies,spiral,none,1.0
2,1,n_sides,line,none,1.0
2,1,n_sides,radial,none,0.9090909090909091
2,1,n_sides,scale_origin,none,1.0
2,1,n_sides,scale_outward,none,1.0
2,1,n_sides,spiral,none,0.75
2,1,transform_type,line,none,1.0
2,1,transform_type,radial,none,1.0
2,1,transform_type,scale_origin,none,1.0
2,1,transform_type,scale_outward,none,1.0
2,1,transform_type,spiral,none,1.0
2,2,edge_type,line,none,0.4
2,2,edge_type,radial,none,0.75
2,2,edge_type,scale_origin,none,0.8
2,2,edge_type,scale_outward,none,1.0
2,2,edge_type,spiral,none,1.0
2,2,n_copies,line,none,0.2
2,2,n_copies,radial,none,0.6666666666666666
2,2,n_copies,scale_origin,none,0.0
2,2,n_copies,scale_outward,none,0.0
2,2,n_copies,spiral,none,0.0
2,2,n_sides,line,none,0.5
2,2,n_sides,radial,none,0.7777777777777778
2,2,n_sides,scale_origin,none,0.0
2,2,n_sides,scale_outward,none,0.6666666666666666
2,2,n_sides,spiral,none,0.5
2,2,transform_type,line,none,1.0
2,2,transform_type,radial,none,1.0
2,2,transform_type,scale_origin,none,1.0
2,2,transform_type,scale_outward,none,1.0
2,2,transform_type,spiral,none,1.0
2,3,edge_type,line,none,0.5
2,3,edge_type,radial,none,1.0
2,3,edge_type,scale_origin,none,1.0
2,3,edge_type,scale_outward,none,0.5
2,3,n_copies,line,none,0.75
2,3,n_copies,radial,none,1.0
2,3,n_copies,scale_origin,none,0.0
2,3,n_copies,scale_outward,none,0.3333333333333333
2,3,n_copies,spiral,none,0.5
2,3,n_sides,line,none,0.3333333333333333
2,3,n_sides,radial,none,0.375
2,3,n_sides,scale_origin,none,0.6
2,3,n_sides,scale_outward,none,0.4
2,3,n_sides,spiral,none,0.2857142857142857
2,3,transform_type,line,none,1.0
2,3,transform_type,radial,none,1.0
2,3,transform_type,scale_origin,none,1.0
2,3,transform_type,scale_outward,none,1.0
2,3,transform_type,spiral,none,1.0
3,0,comp_scale,line,layered,1.0
3,0,comp_scale,line,nested,0.0
3,0,comp_scale,scale_origin,nested,1.0
3,0,comp_scale,scale_outward,layered,0.0
3,0,comp_scale,scale_outward,nested,0.5
3,0,composition_type,line,layered,1.0
3,0,composition_type,line,nested,1.0
3,0,composition_type,radial,layered,1.0
3,0,composition_type,radial,nested,1.0
3,0,composition_type,scale_origin,nested,1.0
3,0,composition_type,scale_origin,rotated,1.0
3,0,composition_type,scale_outward,layered,1.0
3,0,composition_type,scale_outward,nested,1.0
3,0,composition_type,spiral,layered,0.0
3,0,composition_type,spiral,nested,1.0
3,0,composition_type,spiral,rotated,1.0
3,0,edge_type,line,nested,1.0
3,0,edge_type,line,none,1.0
3,0,edge_type,line,rotated,1.0
3,0,edge_type,radial,nested,1.0
3,0,edge_type,radial,rotated,1.0
3,0,edge_type,scale_origin,layered,1.0
3,0,edge_type,scale_origin,rotated,1.0
3,0,edge_type,scale_outward,layered,1.0
3,0,edge_type,scale_outward,rotated,1.0
3,0,edge_type,spiral,nested,1.0
3,0,edge_type,spiral,none,1.0
3,0,edge_type,spiral,rotated,1.0
3,0,n_copies,line,layered,1.0
3,0,n_copies,line,none,1.0
3,0,n_copies,radial,nested,1.0
3,0,n_copies,radial,none,1.0
3,0,n_copies,scale_origin,layered,1.0
3,0,n_copies,scale_origin,nested,1.0
3,0,n_copies,scale_outward,layered,1.0
3,0,n_copies,scale_outward,none,1.0
3,0,n_copies,spiral,layered,1.0
3,0,n_copies,spiral,rotated,1.0
3,0,n_sides,line,none,1.0
3,0,n_sides,line,rotated,1.0
3,0,n_sides,radial,layered,1.0
3,0,n_sides,radial,none,0.5
3,0,n_sides,scale_origin,nested,1.0
3,0,n_sides,scale_outward,none,1.0
3,0,n_sides,scale_outward,rotated,1.0
3,0,n_sides,spiral,layered,1.0
3,0,n_sides,spiral,none,1.0
3,0,n_sides,spiral,rotated,1.0
3,0,transform_type,line,layered,1.0
3,0,transform_type,line,nested,1.0
3,0,transform_type,line,none,1.0
3,0,transform_type,line,rotated,1.0
3,0,transform_type,radial,layered,1.0
3,0,transform_type,radial,nested,1.0
3,0,transform_type,scale_origin,layered,1.0
3,0,transform_type,scale_origin,nested,1.0
3,0,transform_type,scale_origin,rotated,1.0
3,0,transform_type,scale_outward,none,1.0
3,0,transform_type,scale_outward,rotated,1.0
3,0,transform_type,spiral,layered,1.0
3,1,comp_scale,line,layered,0.0
3,1,comp_scale,line,nested,0.0
3,1,comp_scale,scale_origin,nested,1.0
3,1,comp_scale,scale_outward,layered,0.3333333333333333
3,1,comp_scale,scale_outward,nested,0.5
3,1,comp_scale,spiral,nested,0.0
3,1,composition_type,line,layered,1.0
3,1,composition_type,line,nested,1.0
3,1,composition_type,radial,layered,1.0
3,1,composition_type,radial,nested,1.0
3,1,composition_type,scale_origin,nested,1.0
3,1,composition_type,scale_origin,none,1.0
3,1,composition_type,scale_origin,rotated,1.0
3,1,composition_type,scale_outward,layered,1.0
3,1,composition_type,scale_outward,rotated,1.0
3,1,composition_type,spiral,layered,1.0
3,1,composition_type,spiral,none,1.0
3,1,composition_type,spiral,rotated,0.6666666666666666
3,1,edge_type,line,nested,1.0
3,1,edge_type,line,none,1.0
3,1,edge_type,line,rotated,1.0
3,1,edge_type,radial,nested,1.0
3,1,edge_type,radial,rotated,1.0
3,1,edge_type,scale_origin,layered,1.0
3,1,edge_type,scale_origin,rotated,1.0
3,1,edge_type,scale_outward,layered,1.0
3,1,edge_type,scale_outward,nested,1.0
3,1,edge_type,scale_outward,rotated,1.0
3,1,edge_type,spiral,nested,1.0
3,1,edge_type,spiral,none,1.0
3,1,edge_type,spiral,rotated,1.0
3,1,n_copies,line,layered,1.0
3,1,n_copies,line,none,1.0
3,1,n_copies,radial,nested,1.0
3,1,n_copies,radial,none,1.0
3,1,n_copies,scale_origin,nested,1.0
3,1,n_copies,scale_outward,layered,0.0
3,1,n_copies,scale_outward,nested,1.0
3,1,n_copies,scale_outward,none,0.0
3,1,n_copies,spiral,layered,1.0
3,1,n_copies,spiral,rotated,0.0
3,1,n_sides,line,rotated,1.0
3,1,n_sides,radial,layered,1.0
3,1,n_sides,radial,none,1.0
3,1,n_sides,scale_origin,nested,1.0
3,1,n_sides,scale_origin,none,1.0
3,1,n_sides,scale_outward,none,1.0
3,1,n_sides,scale_outward,rotated,1.0
3,1,n_sides,spiral,layered,0.6666666666666666
3,1,n_sides,spiral,none,0.5
3,1,n_sides,spiral,rotated,0.8
3,1,transform_type,line,layered,1.0
3,1,transform_type,line,none,1.0
3,1,transform_type,line,rotated,1.0
3,1,transform_type,radial,layered,1.0
3,1,transform_type,radial,nested,1.0
3,1,transform_type,scale_origin,layered,1.0
3,1,transform_type,scale_origin,nested,1.0
3,1,transform_type,scale_origin,rotated,1.0
3,1,transform_type,scale_outward,nested,1.0
3,1,transform_type,scale_outward,none,1.0
3,1,transform_type,spiral,layered,1.0
3,1,transform_type,spiral,none,1.0
3,2,comp_scale,line,layered,1.0
3,2,comp_scale,radial,layered,1.0
3,2,comp_scale,radial,nested,0.0
3,2,comp_scale,scale_origin,nested,0.0
3,2,comp_scale,spiral,layered,0.0
3,2,comp_scale,spiral,nested,0.0
3,2,composition_type,line,nested,1.0
3,2,composition_type,line,none,1.0
3,2,composition_type,radial,none,1.0
3,2,composition_type,scale_origin,none,1.0
3,2,composition_type,scale_origin,rotated,1.0
3,2,composition_type,scale_outward,layered,0.0
3,2,composition_type,scale_outward,none,0.3333333333333333
3,2,composition_type,spiral,layered,0.0
3,2,composition_type,spiral,none,1.0
3,2,composition_type,spiral,rotated,1.0
3,2,edge_type,line,layered,0.0
3,2,edge_type,line,nested,1.0
3,2,edge_type,line,none,1.0
3,2,edge_type,radial,nested,1.0
3,2,edge_type,radial,none,1.0
3,2,edge_type,radial,rotated,0.0
3,2,edge_type,scale_origin,layered,0.6666666666666666
3,2,edge_type,scale_origin,nested,1.0
3,2,edge_type,scale_origin,none,1.0
3,2,edge_type,scale_origin,rotated,1.0
3,2,edge_type,scale_outward,layered,1.0
3,2,edge_type,scale_outward,nested,1.0
3,2,edge_type,scale_outward,none,0.5
3,2,edge_type,spiral,layered,1.0
3,2,edge_type,spiral,nested,1.0
3,2,edge_type,spiral,rotated,1.0
3,2,n_copies,line,layered,1.0
3,2,n_copies,line,none,0.0
3,2,n_copies,line,rotated,1.0
3,2,n_copies,radial,nested,1.0
3,2,n_copies,scale_origin,layered,0.0
3,2,n_copies,scale_origin,nested,0.0
3,2,n_copies,scale_origin,rotated,0.3333333333333333
3,2,n_copies,scale_outward,layered,1.0
3,2,n_copies,scale_outward,rotated,0.5
3,2,n_copies,spiral,nested,0.0
3,2,n_copies,spiral,none,0.0
3,2,n_copies,spiral,rotated,1.0
3,2,n_sides,line,layered,1.0
3,2,n_sides,line,none,1.0
3,2,n_sides,line,rotated,0.5
3,2,n_sides,radial,layered,0.0
3,2,n_sides,radial,nested,1.0
3,2,n_sides,radial,rotated,0.0
3,2,n_sides,scale_origin,layered,1.0
3,2,n_sides,scale_origin,nested,1.0
3,2,n_sides,scale_origin,none,0.5
3,2,n_sides,scale_origin,rotated,0.0
3,2,n_sides,scale_outward,layered,1.0
3,2,n_sides,scale_outward,nested,1.0
3,2,n_sides,scale_outward,none,1.0
3,2,n_sides,spiral,layered,0.0
3,2,n_sides,spiral,rotated,1.0
3,2,transform_type,line,nested,1.0
3,2,transform_type,line,none,1.0
3,2,transform_type,radial,nested,1.0
3,2,transform_type,radial,none,0.0
3,2,transform_type,scale_origin,layered,1.0
3,2,transform_type,scale_origin,nested,1.0
3,2,transform_type,scale_origin,rotated,1.0
3,2,transform_type,spiral,layered,1.0
3,2,transform_type,spiral,nested,1.0
3,2,transform_type,spiral,none,0.0
